Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
465,Carter Runyon,24,LVR,TE,13,0,1,1,3,3.0,0,0,0.0,3,0.1,0.2,100.0,3.0,0,,RunyCa00
466,Jeffery Simmons,28,TEN,DT,15,15,1,1,1,1.0,1,1,100.0,1,0.1,0.1,100.0,1.0,0,PBAP-1,SimmJe01
467,Quentin Skinner,24,NYJ,WR,1,0,1,1,10,10.0,0,1,100.0,10,1.0,10.0,100.0,10.0,0,,SkinQu00
468,Robert Tonyan,31,KAN,TE,17,0,1,1,1,1.0,0,0,0.0,1,0.1,0.1,100.0,1.0,0,,TonyRo00
469,Samori Toure,27,NOR,WR,1,0,3,1,3,3.0,0,0,0.0,3,1.0,3.0,33.3,1.0,0,,TourSa00
470,Jack Westover,26,NWE,FB,17,2,2,1,0,0.0,0,0,0.0,,0.1,0.0,50.0,0.0,0,,WestJa01
471,Jared Wiley,25,KAN,TE,5,0,1,1,4,4.0,0,1,100.0,4,0.2,0.8,100.0,4.0,0,,WileJa00
472,Ke'Shawn Williams,24,CIN,WR,3,0,1,1,5,5.0,0,0,0.0,5,0.3,1.7,100.0,5.0,0,,WillKe08
473,Jameis Winston,31,NYG,QB,3,2,1,1,33,33.0,1,1,100.0,33,0.3,11.0,100.0,33.0,1,,WinsJa00
474,Tristan Wirfs,26,TAM,T,12,12,1,1,2,2.0,1,1,100.0,2,0.1,0.2,100.0,2.0,0,PB,WirfTr00
475,Jelani Woods,27,NYJ,TE,4,1,3,1,4,4.0,0,0,0.0,4,0.3,1.0,33.3,1.3,0,,WoodJe01
476,Cam Akers,26,MIN,RB,3,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,AkerCa00
477,Josh Allen,29,BUF,QB,17,17,0,0,0,,0,0,,,0.0,0.0,,,7,PBAP MVP-3,AlleJo02
478,Kyle Allen,29,DET,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,AlleKy00
479,Brandon Aubrey,30,DAL,K,17,0,0,0,0,,0,0,,,0.0,0.0,,,0,PBAP-2,AubrBr00
480,Tyson Bagent,25,CHI,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,1,,BageTy00
481,Ulysses Bentley,25,IND,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,BentUl00
482,Garett Bolles,33,DEN,T,17,17,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,PBAP-1,BollGa00
483,Teddy Bridgewater,33,TAM,QB,4,0,0,0,0,,0,0,,,0.0,0.0,,,0,,BridTe00
484,Jacoby Brissett,33,ARI,QB,14,12,0,0,0,,0,0,,,0.0,0.0,,,5,,BrisJa00
485,British Brooks,26,HOU,RB,15,2,0,0,0,,0,0,,,0.0,0.0,,,0,,BrooBr01
486,Max Brosmer,24,MIN,QB,7,2,0,0,0,,0,0,,,0.0,0.0,,,2,,BrosMa00
487,Brittain Brown,28,CHI,RB,3,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,BrowBr06
488,Jake Browning,29,CIN,QB,5,3,0,0,0,,0,0,,,0.0,0.0,,,1,,BrowJa08
489,Jason Brownlee,26,KAN,WR,6,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,BrowJa07
490,Shane Buechele,27,KAN,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,BuecSh00
491,Joe Burrow,29,CIN,QB,8,8,0,0,0,,0,0,,,0.0,0.0,,,0,PB,BurrJo01
492,Alex Cappa,30,LVR,G,17,8,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,CappAl00
493,Nathan Carter,23,ATL,RB,7,0,0,0,0,,0,0,,,0.0,0.0,,,1,,CartNa00
494,Julius Chestnut,25,TEN,RB,17,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,ChesJu00
495,Brady Cook,24,NYJ,QB,5,4,0,0,0,,0,0,,,0.0,0.0,,,3,,CookBr03
496,Kirk Cousins,37,ATL,QB,10,8,0,0,0,,0,0,,,0.0,0.0,,,3,,CousKi00
497,Malik Cunningham,27,DET,WR,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,CunnMa00
498,DeeJay Dallas,27,2TM,RB,6,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,DallDe00
498,DeeJay Dallas,27,CAR,RB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,DallDe00
498,DeeJay Dallas,27,JAX,RB,3,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,DallDe00
