Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
277,Isaiah Williams,NYJ,WR,24,15,2,0,1,0,0,0,3,34,11.33,0,36,26,193,7.42,0,1,1,2,,,33,58.7,62.7,45.7,,107,,WillIs03
278,Jahan Dotson,PHI,WR,25,17,10,0,0,0,0,0,0,0,,0,36,18,262,14.56,1,0,0,1,,,32,50.2,53.2,41.2,,109,,DotsJa00
279,Quinn Ewers,MIA,QB,22,4,3,55,83,622,3,3,8,19,2.38,0,1,1,-6,-6.00,0,3,0,0,,,32,33.2,39.2,35.7,,48,,EwerQu00
280,Philip Rivers,IND,QB,44,3,3,58,92,544,4,3,2,-1,-0.50,0,0,0,0,,0,2,0,0,,,32,31.7,37.7,34.7,,49,,RivePh00
281,Devontez Walker,BAL,WR,24,12,3,0,0,0,0,0,0,0,,0,8,6,136,22.67,3,0,0,3,,,32,37.6,40.6,34.6,,110,,WalkDe01
282,Taysom Hill,NOR,TE,35,13,5,2,6,57,1,0,52,114,2.19,1,16,11,91,8.27,0,3,1,1,,,31,41.8,45.8,36.3,,51,,HillTa00
283,Tyrell Shavers,BUF,WR,26,17,9,0,0,0,0,0,0,0,,0,23,15,245,16.33,1,0,0,1,,,31,45.5,48.5,38.0,,112,,ShavTy00
284,David Sills V,ATL,WR,29,17,4,0,0,0,0,0,0,0,,0,36,18,191,10.61,2,0,0,2,,,31,49.1,52.1,40.1,,111,,SillDa01
285,Mitchell Trubisky,BUF,QB,31,4,0,25,35,313,4,0,9,6,0.67,0,0,0,0,,0,0,0,0,,1,31,31.1,34.1,31.1,,50,,TrubMi00
286,Dyami Brown,JAX,WR,26,14,6,0,0,0,0,0,6,30,5.00,0,37,20,227,11.35,1,1,1,1,,,30,49.7,53.7,39.7,,117,,BrowDy00
287,Christian Kirk,HOU,WR,29,13,3,0,0,0,0,0,0,0,,0,52,28,239,8.54,1,0,0,1,,,30,57.9,60.9,43.9,,116,,KirkCh01
288,Josh Palmer,BUF,WR,26,12,8,0,0,0,0,0,0,0,,0,37,22,303,13.77,0,0,0,0,,,30,52.3,55.3,41.3,,113,,PalmJo00
289,Jayden Reed,GNB,WR,25,7,3,0,0,0,0,0,3,28,9.33,0,22,19,207,10.89,1,0,0,1,,,30,48.5,51.5,39.0,,118,,ReedJa03
290,Calvin Ridley,TEN,WR,31,7,6,0,0,0,0,0,0,0,,0,36,17,303,17.82,0,0,0,0,,,30,47.3,50.3,38.8,,114,,RidlCa00
291,Xavier Smith,LAR,WR,28,16,3,0,0,0,0,0,0,0,,0,24,18,303,16.83,0,0,0,0,,,30,48.3,51.3,39.3,,115,,SmitXa00
292,Mitchell Evans,CAR,TE,22,17,10,0,0,0,0,0,1,1,1.00,0,25,19,171,9.00,2,0,0,2,,,29,48.2,51.2,38.7,,52,,EvanMi01
293,Tanner Hudson,CIN,TE,31,15,1,0,0,0,0,0,0,0,,0,24,19,168,8.84,2,0,0,2,,,29,47.8,50.8,38.3,,53,,HudsTa00
294,Riley Leonard,IND,QB,23,5,1,39,67,415,2,3,6,27,4.50,2,0,0,-3,,0,2,2,2,,,29,29.0,37.0,32.0,,51,,LeonRi02
295,Brandin Cooks,2TM,WR,32,15,5,0,0,0,0,0,0,0,,0,36,24,279,11.63,0,0,0,0,,,28,51.9,54.9,39.9,,120,,CookBr00
296,Brady Cook,NYJ,QB,24,5,4,88,153,739,2,7,13,49,3.77,0,0,0,0,,0,3,1,0,,1,28,28.5,39.5,35.5,,52,,CookBr03
297,Elijah Higgins,ARI,TE,25,17,10,0,0,0,0,0,0,0,,0,37,30,301,10.03,0,1,1,0,,,28,58.1,62.1,43.1,,54,,HiggEl00
298,Kendre Miller,NOR,RB,23,7,0,0,0,0,0,0,47,193,4.11,1,5,5,30,6.00,0,0,0,1,,,28,33.3,36.3,30.8,,73,,MillKe01
299,Chris Moore,WAS,WR,32,14,5,0,0,0,0,0,1,9,9.00,0,23,11,207,18.82,1,0,0,1,,,28,38.6,41.6,33.1,,121,,MoorCh00
300,Jalen Tolbert,DAL,WR,26,13,8,0,0,0,0,0,0,0,,0,34,18,203,11.28,1,0,0,1,1,,28,46.3,49.3,37.3,,119,,TolbJa00
301,Jaleel McLaughlin,DEN,RB,25,8,1,0,0,0,0,0,37,187,5.05,1,6,4,27,6.75,0,0,0,1,,,27,31.4,34.4,29.4,,74,,McLaJa00
302,Roman Wilson,PIT,WR,24,13,4,0,0,0,0,0,0,0,,0,21,12,166,13.83,2,1,1,2,,,27,38.6,42.6,32.6,,122,,WilsRo02
303,Tyler Johnson,NYJ,WR,27,12,5,0,0,0,0,0,0,0,,0,18,12,197,16.42,1,0,0,1,,,26,37.7,40.7,31.7,,123,,JohnTy00
304,Charlie Kolar,BAL,TE,26,17,7,0,0,0,0,0,0,0,,0,15,10,142,14.20,2,0,0,2,,,26,36.2,39.2,31.2,,55,,KolaCh00
305,Adam Trautman,DEN,TE,28,17,12,0,0,0,0,0,0,0,,0,23,20,195,9.75,1,0,0,1,,,26,45.5,48.5,35.5,,56,,TrauAd00
306,Tutu Atwell,LAR,WR,26,10,4,0,0,0,0,0,0,0,,0,15,6,192,32.00,1,0,0,1,,,25,31.2,34.2,28.2,,124,,AtweTu00
307,James Conner,ARI,RB,30,3,3,0,0,0,0,0,32,95,2.97,1,9,8,38,4.75,1,1,0,2,,,25,33.3,33.3,29.3,,75,,ConnJa00
308,Luke Musgrave,GNB,TE,25,17,10,0,0,0,0,0,0,0,,0,31,24,252,10.50,0,1,0,0,,,25,49.2,52.2,37.2,,57,,MusgLu00
309,Ja'Tavion Sanders,CAR,TE,22,13,5,0,0,0,0,0,0,0,,0,34,29,190,6.55,1,0,0,1,,,25,54.0,57.0,39.5,,58,,SandJa01
310,Zavier Scott,MIN,RB,26,16,0,0,0,0,0,0,32,114,3.56,0,16,14,98,7.00,1,2,1,1,,,25,39.2,43.2,32.2,,76,,ScotZa00
311,Connor Heyward,PIT,TE,26,17,2,0,0,0,0,0,15,43,2.87,2,4,3,21,7.00,1,0,0,3,,,24,27.4,27.4,25.9,,59,,HeywCo00
312,Josh Johnson,WAS,QB,39,5,2,34,54,372,1,2,12,55,4.58,1,0,0,0,,0,2,1,1,,,24,24.4,30.4,26.4,,53,,JohnJo05
313,Hunter Luepke,DAL,RB,25,17,5,0,0,0,0,0,16,71,4.44,0,15,13,109,8.38,1,0,0,1,,,24,37.0,40.0,30.5,,77,,LuepHu00
