Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
401,Joe Milton,DAL,QB,25,4,0,15,24,183,1,2,5,50,10.00,0,0,0,0,,0,1,1,0,,,10,10.3,13.3,12.3,,58,,MiltJo00
402,Skyy Moore,SFO,WR,25,17,0,0,0,0,0,0,2,11,5.50,0,7,5,87,17.40,0,1,0,0,,,10,14.8,14.8,12.3,,161,,MoorSk01
403,Adam Prentice,DEN,FB,28,17,3,0,0,0,0,0,10,44,4.40,0,8,6,53,8.83,0,0,0,0,,,10,15.7,15.7,12.7,,100,,PrenAd00
404,Josh Whyle,GNB,TE,26,8,1,0,0,0,0,0,0,0,,0,6,5,36,7.20,1,0,0,1,,,10,14.6,14.6,12.1,,82,,WhylJo01
405,Michael Bandy,DEN,WR,28,4,0,0,0,0,0,0,0,0,,0,4,4,50,12.50,1,1,1,1,,,9,13.0,14.0,11.0,,166,,BandMi00
406,Tanner Conner,MIA,TE,27,9,0,0,0,0,0,0,0,0,,0,15,9,91,10.11,0,0,0,0,,,9,18.1,18.1,13.6,,83,,ConnTa00
407,Darius Cooper,PHI,WR,24,13,0,0,0,0,0,0,0,0,,0,11,9,92,10.22,0,0,0,0,,,9,18.2,18.2,13.7,,165,,CoopDa01
408,Trevor Etienne,CAR,RB,21,17,0,0,0,0,0,0,20,94,4.70,0,3,3,13,4.33,0,2,1,0,,,9,11.7,12.7,10.2,,104,,EtieTr01
409,Najee Harris,LAC,RB,27,3,0,0,0,0,0,0,15,61,4.07,0,3,3,25,8.33,0,0,0,0,,,9,11.6,11.6,10.1,,105,,HarrNa00
410,Malik Heath,GNB,WR,25,11,0,0,0,0,0,0,0,0,,0,7,6,86,14.33,0,0,0,0,,,9,14.6,14.6,11.6,,168,,HeatMa00
411,Phil Mafah,DAL,RB,23,1,0,0,0,0,0,0,5,18,3.60,1,2,2,11,5.50,0,0,0,1,,,9,10.9,10.9,9.9,,103,,MafaPh00
412,David Martin-Robinson,TEN,TE,26,17,4,0,0,0,0,0,0,0,,0,6,4,30,7.50,1,0,0,1,,,9,13.0,13.0,11.0,,84,,MartDa01
413,Ryan Miller,TAM,WR,25,13,3,0,0,0,0,0,0,0,,0,4,2,34,17.00,1,0,0,1,,,9,11.4,11.4,10.4,,162,,MillRy01
414,Andrew Ogletree,IND,TE,27,15,5,0,0,0,0,0,0,0,,0,6,4,27,6.75,1,0,0,1,,,9,12.7,12.7,10.7,,85,,OgleAn00
415,Will Shipley,PHI,RB,23,15,0,0,0,0,0,0,14,49,3.50,0,12,9,56,6.22,0,1,1,0,,,9,17.5,18.5,13.0,,106,,ShipWi00
416,Mason Tipton,NOR,WR,25,14,3,0,0,0,0,0,4,18,4.50,0,17,11,76,6.91,0,1,0,0,,,9,20.4,20.4,14.9,,163,,TiptMa00
417,Casey Washington,ATL,WR,24,7,2,0,0,0,0,0,0,0,,0,14,6,94,15.67,0,0,0,0,,,9,15.4,15.4,12.4,,164,,WashCa01
418,Nick Westbrook-Ikhine,MIA,WR,28,15,3,0,0,0,0,0,0,0,,0,20,11,89,8.09,0,0,0,0,,,9,19.9,19.9,14.4,,167,,WestNi00
419,Trayveon Williams,2TM,RB,28,7,0,0,0,0,0,0,10,36,3.60,0,9,8,55,6.88,0,0,0,0,,,9,17.1,17.1,13.1,,102,,WillTr06
420,Ronnie Bell,NOR,WR,25,2,0,0,0,0,0,0,0,0,,0,4,2,23,11.50,1,0,0,1,,,8,10.3,10.3,9.3,,169,,BellRo01
421,British Brooks,HOU,RB,26,15,2,0,0,0,0,0,17,78,4.59,0,0,0,0,,0,0,0,0,,,8,7.8,7.8,7.8,,108,,BrooBr01
422,Noah Brown,WAS,WR,29,4,4,0,0,0,0,0,0,0,,0,10,5,83,16.60,0,0,0,0,,,8,13.3,13.3,10.8,,170,,BrowNo00
423,Josiah Deguara,ARI,TE,28,12,2,0,0,0,0,0,0,0,,0,5,3,21,7.00,1,0,0,1,,,8,11.1,11.1,9.6,,86,,DeguJo00
424,Austin Ekeler,WAS,RB,30,2,2,0,0,0,0,0,14,43,3.07,0,7,5,38,7.60,0,0,0,0,,,8,13.1,13.1,10.6,,107,,EkelAu00
425,Kaleb Johnson,PIT,RB,22,10,0,0,0,0,0,0,28,69,2.46,0,2,1,9,9.00,0,1,0,0,,,8,8.8,8.8,8.3,,109,,JohnKa03
426,Kenny Pickett,LVR,QB,27,6,2,28,45,188,1,2,5,22,4.40,0,0,0,0,,0,1,1,0,,,8,7.7,10.7,9.7,,60,,PickKe00
427,Cade Stover,HOU,TE,25,9,7,0,0,0,0,0,4,3,0.75,0,16,12,76,6.33,0,0,0,0,,,8,19.9,19.9,13.9,,87,,StovCa00
428,Cam Akers,2TM,RB,26,6,0,1,1,32,1,0,5,19,3.80,0,1,0,0,,0,0,0,0,,,7,7.2,7.2,7.2,,111,,AkerCa00
429,Devin Culp,TAM,TE,25,13,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,1,0,0,1,,,7,7.6,7.6,7.1,,88,,CulpDe00
430,Corey Kiner,ARI,RB,23,4,0,0,0,0,0,0,12,58,4.83,0,3,2,15,7.50,0,0,0,0,,,7,9.3,9.3,8.3,,110,,KineCo00
431,Ray-Ray McCloud,2TM,WR,29,6,2,0,0,0,0,0,0,0,,0,15,7,69,9.86,0,0,0,0,,,7,13.9,13.9,10.4,,171,,McClRa00
432,James Proche,TEN,WR,29,9,2,0,0,0,0,0,0,0,,0,12,6,65,10.83,0,0,0,0,,,7,12.5,12.5,9.5,,173,,ProcJa00
433,Arian Smith,NYJ,WR,24,16,5,0,0,0,0,0,4,13,3.25,0,16,7,52,7.43,0,0,0,0,,,7,13.5,13.5,10.0,,174,,SmitAr01
434,Xavier Weaver,ARI,WR,25,10,2,0,0,0,0,0,0,0,,0,13,7,67,9.57,0,0,0,0,,,7,13.7,13.7,10.2,,172,,WeavXa00
435,Ty Chandler,MIN,RB,27,3,0,0,0,0,0,0,17,47,2.76,0,4,3,11,3.67,0,0,0,0,,,6,8.8,8.8,7.3,,115,,ChanTy01
436,AJ Dillon,PHI,RB,27,7,0,0,0,0,0,0,12,60,5.00,0,3,3,21,7.00,0,1,1,0,,,6,9.1,10.1,7.6,,112,,DillAJ00
437,Hassan Haskins,LAC,RB,26,12,0,0,0,0,0,0,17,47,2.76,0,4,4,13,3.25,0,0,0,0,,,6,10.0,10.0,8.0,,114,,HaskHa00
438,Khalil Herbert,NYJ,RB,27,7,0,0,0,0,0,0,16,52,3.25,0,4,1,4,4.00,0,0,0,0,,,6,6.6,6.6,6.1,,116,,HerbKh00
439,Alec Ingold,MIA,FB,29,17,10,0,0,0,0,0,2,9,4.50,0,11,8,52,6.50,0,0,0,0,,,6,14.1,14.1,10.1,,113,,IngoAl01
440,Charlie Jones,CIN,WR,27,14,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,1,,,6,6.0,6.0,6.0,,176,,JoneCh11
441,Scott Miller,PIT,WR,28,13,0,0,0,0,0,0,0,0,,0,14,9,62,6.89,0,0,0,0,,,6,15.2,15.2,10.7,,175,,MillSc01
442,Foster Moreau,NOR,TE,28,11,9,0,0,0,0,0,0,0,,0,10,7,59,8.43,0,0,0,0,,,6,12.9,12.9,9.4,,89,,MoreFo00
443,Zamir White,LVR,RB,26,6,0,0,0,0,0,0,12,32,2.67,0,6,4,24,6.00,0,0,0,0,,,6,9.6,9.6,7.6,,117,,WhitZa01
444,Robbie Chosen,WAS,WR,32,3,0,0,0,0,0,0,0,0,,0,9,5,53,10.60,0,0,0,0,,,5,10.3,10.3,7.8,,178,,AndeRo04
445,Brenden Bates,2TM,TE,26,9,3,0,0,0,0,0,0,0,,0,5,4,48,12.00,0,0,0,0,,,5,8.8,8.8,6.8,,93,,BateBr00
446,Tahj Brooks,CIN,RB,23,16,0,0,0,0,0,0,16,45,2.81,0,2,1,9,9.00,0,0,0,0,,,5,6.4,6.4,5.9,,118,,BrooTa00
447,Anthony Firkser,DET,TE,30,7,4,0,0,0,0,0,0,0,,0,10,8,53,6.63,0,0,0,0,,,5,13.3,13.3,9.3,,90,,FirkAn00
448,Evan Hull,NOR,RB,25,6,0,0,0,0,0,0,19,48,2.53,0,1,1,6,6.00,0,0,0,0,,,5,6.4,6.4,5.9,,119,,HullEv00
449,Mason Kinsey,TEN,WR,27,10,0,0,0,0,0,0,0,0,,0,4,2,48,24.00,0,0,0,0,,,5,6.8,6.8,5.8,,179,,KinsMa00
450,Gage Larvadain,CLE,WR,23,13,0,0,0,0,0,0,1,3,3.00,0,14,7,71,10.14,0,4,1,0,,,5,12.4,13.4,8.9,,177,,LarvGa00
451,Aidan O'Connell,LVR,QB,27,1,0,10,22,102,0,0,1,7,7.00,0,0,0,0,,0,0,0,0,,,5,4.8,4.8,4.8,,61,,OConAi00
452,Ronnie Rivers,LAR,RB,26,11,0,0,0,0,0,0,9,46,5.11,0,0,0,0,,0,0,0,0,,,5,4.6,4.6,4.6,,120,,RiveRo01
453,Eric Saubert,SEA,TE,31,11,5,0,0,0,0,0,0,0,,0,7,4,31,7.75,0,0,0,0,1,,5,9.1,9.1,7.1,,92,,SaubEr00
454,Stone Smartt,NYJ,TE,27,15,1,0,0,0,0,0,0,0,,0,9,7,52,7.43,0,0,0,0,,,5,12.2,12.2,8.7,,91,,SmarSt00
455,Austin Trammell,JAX,WR,27,6,0,0,0,0,0,0,0,0,,0,10,3,46,15.33,0,0,0,0,,,5,7.6,7.6,6.1,,181,,TramAu00
456,Charlie Woerner,ATL,TE,28,17,13,0,0,0,0,0,0,0,,0,9,8,48,6.00,0,0,0,0,,,5,12.8,12.8,8.8,,94,,WoerCh00
457,Dareke Young,SEA,WR,26,9,0,0,0,0,0,0,0,0,,0,3,2,48,24.00,0,0,0,0,,,5,6.8,6.8,5.8,,180,,YounDa02
458,Braxton Berrios,HOU,WR,30,4,0,0,0,0,0,0,0,0,,0,8,6,37,6.17,0,0,0,0,,,4,9.7,9.7,6.7,,186,,BerrBr00
459,Max Brosmer,MIN,QB,24,7,2,47,71,328,0,4,7,11,1.57,0,0,0,0,,0,2,1,0,,,4,4.2,12.2,8.2,,62,,BrosMa00
460,Shane Buechele,KAN,QB,27,1,0,7,14,88,0,0,1,4,4.00,0,0,0,0,,0,0,0,0,,,4,3.9,3.9,3.9,,63,,BuecSh00
461,Nathan Carter,ATL,RB,23,7,0,0,0,0,0,0,9,60,6.67,0,0,0,0,,0,1,1,0,,,4,4.0,5.0,4.0,,121,,CartNa00
462,Julius Chestnut,TEN,RB,25,17,0,0,0,0,0,0,11,40,3.64,0,2,0,0,,0,0,0,0,,,4,4.0,4.0,4.0,,122,,ChesJu00
463,Dylan Drummond,ATL,WR,25,9,0,0,0,0,0,0,0,0,,0,11,7,42,6.00,0,0,0,0,,,4,11.2,11.2,7.7,,183,,DrumDy00
464,D'Wayne Eskridge,MIA,WR,28,13,0,0,0,0,0,0,0,0,,0,7,4,62,15.50,0,1,1,0,,,4,8.2,9.2,6.2,,184,,EskrDW00
465,Kylen Granson,PHI,TE,27,17,3,0,0,0,0,0,0,0,,0,9,7,40,5.71,0,0,0,0,,,4,11.0,11.0,7.5,,95,,GranKy00
466,Jalin Hyatt,NYG,WR,24,8,0,0,0,0,0,0,0,0,,0,14,5,35,7.00,0,0,0,0,,,4,8.5,8.5,6.0,,188,,HyatJa00
467,Tom Kennedy,DET,WR,29,6,0,0,0,0,0,0,0,0,,0,4,4,36,9.00,0,0,0,0,,,4,7.6,7.6,5.6,,187,,KennTo01
468,Keleki Latu,BUF,TE,23,5,0,0,0,0,0,0,0,0,,0,4,4,35,8.75,0,0,0,0,,,4,7.5,7.5,5.5,,97,,LatuKe00
469,Albert Okwuegbunam,LVR,TE,27,1,0,0,0,0,0,0,0,0,,0,6,5,36,7.20,0,0,0,0,,,4,8.6,8.6,6.1,,96,,OkwuAl00
470,Dameon Pierce,2TM,RB,25,5,0,0,0,0,0,0,14,36,2.57,0,1,0,0,,0,0,0,0,,,4,3.6,3.6,3.6,,123,,PierDa01
471,Xavier Restrepo,TEN,WR,23,2,0,0,0,0,0,0,0,0,,0,7,3,41,13.67,0,0,0,0,,,4,7.1,7.1,5.6,,185,,RestXa00
472,Cedrick Wilson Jr.,MIA,WR,30,10,5,0,0,0,0,0,0,0,,0,9,5,44,8.80,0,0,0,0,,,4,9.4,9.4,6.9,,182,,WilsCe01
473,Tyson Bagent,CHI,QB,25,3,0,3,4,47,0,0,2,7,3.50,0,0,0,0,,0,1,0,0,,,3,2.6,2.6,2.6,,65,,BageTy00
474,Teddy Bridgewater,TAM,QB,33,4,0,8,15,62,0,0,3,4,1.33,0,0,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,64,,BridTe00
475,Jalen Brooks,2TM,WR,25,6,0,0,0,0,0,0,0,0,,0,6,3,51,17.00,0,1,1,0,,,3,6.1,7.1,4.6,,192,,BrooJa03
476,Beaux Collins,NYG,WR,23,9,0,0,0,0,0,0,0,0,,0,6,2,25,12.50,0,0,0,0,,,3,4.5,4.5,3.5,,197,,CollBe00
477,Devin Duvernay,CHI,WR,28,17,0,0,0,0,0,0,0,0,,0,5,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,195,,DuveDe00
478,Tai Felton,MIN,WR,22,17,0,0,0,0,0,0,0,0,,0,3,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,198,,FeltTa00
479,Reggie Gilliam,BUF,FB,28,17,2,0,0,0,0,0,2,4,2.00,0,2,2,24,12.00,0,0,0,0,,,3,4.8,4.8,3.8,,125,,GillRe00
480,Tyler Goodson,IND,RB,25,11,0,0,0,0,0,0,9,24,2.67,0,3,2,8,4.00,0,0,0,0,,,3,5.2,5.2,4.2,,124,,GoodTy00
481,KhaDarel Hodge,ATL,WR,30,12,1,0,0,0,0,0,0,0,,0,10,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,193,,HodgKh00
482,D'Ernest Johnson,2TM,RB,29,8,0,0,0,0,0,0,14,25,1.79,0,0,0,0,,0,0,0,0,,,3,2.5,2.5,2.5,,126,,JohnDE04
483,Jacoby Jones,WAS,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,25,25.00,0,0,0,0,,,3,3.5,3.5,3.0,,199,,JoneJa16
484,Velus Jones Jr.,2TM,WR,28,8,0,0,0,0,0,0,4,32,8.00,0,0,0,0,,0,0,0,0,,,3,3.2,3.2,3.2,,189,,JoneVe00
485,Jonathan Mingo,DAL,WR,24,6,0,0,0,0,0,0,0,0,,0,5,1,25,25.00,0,0,0,0,,,3,3.5,3.5,3.0,,200,,MingJo00
486,James Mitchell,CAR,TE,26,5,0,0,0,0,0,0,0,0,,0,3,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3,,99,,MitcJa00
487,Nikko Remigio,KAN,WR,26,14,0,0,0,0,0,0,1,11,11.00,0,1,1,21,21.00,0,2,0,0,,,3,4.2,4.2,3.7,,190,,RemiNi00
488,Ben Sims,2TM,TE,25,11,2,0,0,0,0,0,0,0,,0,6,3,30,10.00,0,0,0,0,,,3,6.0,6.0,4.5,,98,,SimsBe00
489,Durham Smythe,CHI,TE,30,17,2,0,0,0,0,0,0,0,,0,6,4,25,6.25,0,0,0,0,,,3,6.5,6.5,4.5,,100,,SmytDu00
490,Deven Thompkins,ATL,WR,26,7,0,0,0,0,0,0,1,5,5.00,0,3,3,27,9.00,0,0,0,0,,,3,6.2,6.2,4.7,,191,,ThomDe07
491,Jordan Watkins,SFO,WR,23,4,0,0,0,0,0,0,0,0,,0,3,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,196,,WatkJo00
492,Justin Watson,HOU,WR,29,3,0,0,0,0,0,0,0,0,,0,4,3,30,10.00,0,0,0,0,,,3,6.0,6.0,4.5,,194,,WatsJu01
493,Jake Bobo,SEA,WR,27,11,0,0,0,0,0,0,0,0,,0,2,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,203,,BoboJa00
494,Britain Covey,PHI,WR,28,6,0,0,0,0,0,0,0,0,,0,4,2,20,10.00,0,2,0,0,,,2,4.0,4.0,3.0,,204,,CoveBr00
495,DeeJay Dallas,2TM,RB,27,6,0,0,0,0,0,0,3,21,7.00,0,1,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,128,,DallDe00
496,Joshua Dobbs,NWE,QB,30,4,0,7,10,65,0,0,10,-5,-0.50,0,0,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,66,,DobbJo00
497,Clyde Edwards-Helaire,KAN,RB,26,2,0,0,0,0,0,0,7,13,1.86,0,2,2,9,4.50,0,0,0,0,,,2,4.2,4.2,3.2,,127,,EdwaCl00
498,Tucker Fisk,LAC,TE,26,10,7,0,0,0,0,0,0,0,,0,4,2,19,9.50,0,0,0,0,,,2,3.9,3.9,2.9,,103,,FiskTu00
499,Roschon Johnson,CHI,RB,24,7,0,0,0,0,0,0,2,17,8.50,0,0,0,0,,0,0,0,0,,,2,1.7,1.7,1.7,,130,,JohnRo07
500,Tim Jones,2TM,WR,27,4,0,0,0,0,0,0,0,0,,0,1,1,15,15.00,0,0,0,0,,,2,2.5,2.5,2.0,,208,,JoneTi00
501,Jakobie Keeney-James,GNB,WR,25,1,1,0,0,0,0,0,0,0,,0,2,2,15,7.50,0,0,0,0,,,2,3.5,3.5,2.5,,209,,KeenJa00
502,Lucas Krull,DEN,TE,27,3,3,0,0,0,0,0,0,0,,0,4,2,15,7.50,0,0,0,0,,,2,3.5,3.5,2.5,,108,,KrulLu00
503,Will Mallory,IND,TE,26,2,0,0,0,0,0,0,0,0,,0,1,1,16,16.00,0,0,0,0,,,2,2.6,2.6,2.1,,107,,MallWi00
504,Tay Martin,WAS,WR,28,3,0,0,0,0,0,0,0,0,,0,2,2,23,11.50,0,0,0,0,,,2,4.3,4.3,3.3,,201,,MartTa00
505,Zaire Mitchell-Paden,2TM,TE,26,8,1,0,0,0,0,0,0,0,,0,3,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7,,106,,MitcZa00
506,David Moore,CAR,WR,30,4,2,0,0,0,0,0,1,12,12.00,0,1,1,5,5.00,0,0,0,0,,,2,2.7,2.7,2.2,,206,,MoorDa03
507,Tip Reiman,ARI,TE,24,4,3,0,0,0,0,0,0,0,,0,5,3,18,6.00,0,0,0,0,,,2,4.8,4.8,3.3,,104,,ReimTi00
508,Cooper Rush,BAL,QB,32,4,2,34,52,303,0,4,4,-4,-1.00,0,0,0,0,,0,1,1,0,,,2,1.7,9.7,5.7,,68,,RushCo00
509,Trent Sherfield,2TM,WR,29,12,3,0,0,0,0,0,0,0,,0,5,3,21,7.00,0,0,0,0,,,2,5.1,5.1,3.6,,202,,SherTr00
510,Clayton Tune,GNB,QB,26,2,1,7,15,42,0,1,5,23,4.60,0,0,0,0,,0,1,0,0,,,2,2.0,3.0,3.0,,67,,TuneCl00
511,Tahj Washington,MIA,WR,24,6,1,0,0,0,0,0,0,0,,0,5,3,37,12.33,0,1,1,0,,,2,4.7,5.7,3.2,,207,,WashTa00
512,Jared Wayne,HOU,WR,25,1,1,0,0,0,0,0,0,0,,0,2,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,205,,WaynJa01
513,Jelani Woods,NYJ,TE,27,4,1,0,0,0,0,0,0,0,,0,3,1,4,4.00,0,0,0,0,1,,2,3.4,3.4,2.9,,101,,WoodJe01
514,Jacardia Wright,SEA,RB,25,1,0,0,0,0,0,0,5,20,4.00,0,0,0,0,,0,0,0,0,,,2,2.0,2.0,2.0,,129,,WrigJa05
515,Colson Yankoff,WAS,TE,25,14,0,0,0,0,0,0,0,0,,0,3,2,18,9.00,0,0,0,0,,,2,3.8,3.8,2.8,,105,,YankCo00
516,Shane Zylstra,DET,TE,29,6,3,0,0,0,0,0,0,0,,0,5,3,20,6.67,0,0,0,0,,,2,5.0,5.0,3.5,,102,,ZylsSh00
517,Brandon Allen,TEN,QB,33,1,0,17,30,72,0,1,0,0,,0,0,0,0,,0,0,0,0,,,1,0.9,1.9,1.9,,71,,AlleBr00
518,Andre Baccellia,ARI,WR,28,5,2,0,0,0,0,0,0,0,,0,4,2,8,4.00,0,0,0,0,,,1,2.8,2.8,1.8,,212,,BaccAn00
519,Alex Bachman,LVR,WR,29,13,0,0,0,0,0,0,0,0,,0,3,2,12,6.00,0,1,0,0,,,1,3.2,3.2,2.2,,210,,BachAl00
520,Harrison Bryant,HOU,TE,27,12,4,0,0,0,0,0,0,0,,0,6,2,7,3.50,0,0,0,0,,,1,2.7,2.7,1.7,,113,,BryaHa00
521,Sal Cannella,CLE,TE,29,2,0,0,0,0,0,0,0,0,,0,5,2,11,5.50,0,0,0,0,,,1,3.1,3.1,2.1,,110,,CannSa00
522,Payne Durham,TAM,TE,25,17,10,0,0,0,0,0,0,0,,0,4,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6,,111,,DurhPa00
523,Ross Dwelley,DET,TE,30,11,1,0,0,0,0,0,0,0,,0,5,2,7,3.50,0,0,0,0,,,1,2.7,2.7,1.7,,114,,DwelRo00
524,Myles Gaskin,SEA,RB,28,1,0,0,0,0,0,0,3,6,2.00,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,137,,GaskMy00
525,Anthony Gould,IND,WR,24,11,1,0,0,0,0,0,0,0,,0,2,2,6,3.00,0,0,0,0,,,1,2.6,2.6,1.6,,214,,GoulAn00
526,Cam Grandy,CIN,TE,25,5,1,0,0,0,0,0,0,0,,0,2,2,7,3.50,0,1,0,0,,,1,2.7,2.7,1.7,,115,,GranCa00
527,Amar Johnson,LAC,RB,22,2,0,0,0,0,0,0,2,8,4.00,0,1,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,134,,JohnAm00
528,Dylan Laube,LVR,RB,26,17,0,0,0,0,0,0,7,9,1.29,0,4,3,18,6.00,0,1,1,0,,,1,3.7,4.7,2.2,,135,,LaubDy00
529,Chris Manhertz,NYG,TE,33,17,3,0,0,0,0,0,0,0,,0,2,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,116,,ManhCh00
530,Moliki Matavao,NOR,TE,22,6,2,0,0,0,0,0,0,0,,0,2,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0,,112,,MataMo00
531,Kalel Mullings,TEN,RB,23,9,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,136,,MullKa00
532,Bryce Oliver,TEN,WR,25,3,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,213,,OlivBr02
533,Patrick Ricard*,BAL,FB,31,11,5,0,0,0,0,0,1,3,3.00,0,2,1,8,8.00,0,0,0,0,,,1,2.1,2.1,1.6,,131,,RicaPa00
534,Anthony Richardson,IND,QB,23,2,0,1,2,9,0,0,4,-1,-0.25,0,1,1,9,9.00,0,0,0,0,,,1,2.2,2.2,1.7,,70,,RichAn03
535,Jacob Saylors,DET,RB,24,16,0,0,0,0,0,0,2,11,5.50,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,132,,SaylJa00
536,Quentin Skinner,NYJ,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,211,,SkinQu00
537,Josh Williams,TAM,RB,25,3,0,0,0,0,0,0,4,11,2.75,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,133,,WillJo011
538,Zach Wilson,MIA,QB,26,4,0,6,11,32,0,0,3,1,0.33,0,0,0,0,,0,0,0,0,,,1,1.4,1.4,1.4,,69,,WilsZa00
539,Owen Wright,TAM,RB,26,3,0,0,0,0,0,0,3,6,2.00,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,138,,WrigOw00
540,Ben Yurosek,MIN,TE,23,12,1,0,0,0,0,0,0,0,,0,3,2,14,7.00,0,0,0,0,,,1,3.4,3.4,2.4,,109,,YuroBe00
541,Maurice Alexander,CHI,WR,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,218,,AlexMa02
542,Kyle Allen,DET,QB,29,3,0,0,2,0,0,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3,,78,,AlleKy00
543,Ulysses Bentley,IND,RB,25,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,,142,,BentUl00
544,Chris Blair,ATL,WR,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,219,,BlaiCh00
545,Gary Brightwell,CIN,RB,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,143,,BrigGa00
546,Ja'Corey Brooks,WAS,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,220,,BrooJa04
547,Jason Brownlee,KAN,WR,26,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,221,,BrowJa07
548,Pharaoh Brown,ARI,TE,31,7,2,0,0,0,0,0,0,0,,0,2,2,1,0.50,0,0,0,0,,,,2.1,2.1,1.1,,122,,BrowPh01
549,Lawrence Cager,WAS,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,,CageLa01
550,Dalen Cambre,NYG,WR,24,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,222,,CambDa00
551,Dalevon Campbell,CAR,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,223,,CampDa01
552,Parris Campbell,DAL,WR,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,224,,CampPa00
553,Stephen Carlson,CHI,TE,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,,CarlSt00
554,DeAndre Carter,CLE,WR,32,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,225,,CartDe02
555,Dan Chisena,CAR,WR,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,226,,ChisDa00
556,River Cracraft,WAS,WR,31,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,227,,CracRi00
557,Malik Cunningham,DET,WR,27,1,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,217,,CunnMa00
558,Drake Dabney,GNB,TE,23,2,1,0,0,0,0,0,0,0,,0,2,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,120,,DabnDr00
559,Kaden Davis,CLE,WR,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,228,,DaviKa02
560,Zach Davidson,NYG,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,,DaviZa00
561,CJ Dippre,NWE,TE,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,,DippCJ00
562,Chase Edmonds,WAS,RB,29,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,144,,EdmoCh00
563,Princeton Fant,DAL,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,,FantPr00
564,Simi Fehoko,ARI,WR,28,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,229,,FehoSi00
